family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,beam,power_kw,sigma_x_mm
injection_electrons,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,7.998921383907205,8.001746719862581,8.065370494140469,0.795123571206724,0.8307258822039643,0.20692675485219592,2.4832374422952,injection,100,8
injection_electrons,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,8.99878655689561,9.00152536488204,9.064690601404767,0.7017170308618592,0.7323659039190744,0.19510310249667345,2.4588132200461,injection,100,9
injection_electrons,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.001144232759604,10.061877224396063,0.6072604316366581,0.6323402016601865,0.18386901952014653,2.4395684889063,injection,100,10
injection_electrons,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,10.998516902872419,11.000954997518006,11.057494278001906,0.5139488389567681,0.5362302540453001,0.17242574951315312,1.9154182291525998,injection,100,11
injection_electrons,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,11.998382075860826,12.000806984429554,12.052408929064676,0.4299872892054024,0.45028448721051717,0.162376468498817,1.9059058882899986,injection,100,12
injection_electrons,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,12.998247248849232,13.000548969982821,13.047190821007876,0.358768319189795,0.3765397843388252,0.15311041241292236,2.0808221023407008,injection,100,13
injection_electrons,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,13.998112421837636,14.000383787160274,14.041801113003304,0.29582993204095853,0.3121041598259433,0.14421783101508998,2.0752493258826004,injection,100,14
injection_electrons,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,14.997977594826041,15.000005086448562,15.036735022247575,0.24486615562682168,0.25841769116192737,0.13566179005655676,2.0705657026850997,injection,100,15
injection_electrons,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,15.997842767814449,15.999745195218258,16.031793829677824,0.200307155323598,0.21222275000527535,0.12806410638332544,2.0665841550806014,injection,100,16
injection_electrons,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,16.99770794080285,16.999632681586,17.02722498678805,0.16231118471128347,0.1736530953937887,0.12147272753779192,2.0631669136993995,injection,100,17
injection_electrons,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,17.99757311379126,17.99931304383852,18.023318482985086,0.13336864072590604,0.14304911573939094,0.11544094503769543,1.4790242748288005,injection,100,18
injection_electrons,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,18.997438286779666,18.999224820969516,19.019955335152343,0.1091124210496508,0.11852676151786756,0.11033040928960233,1.3798062307132994,injection,100,19
injection_electrons,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,19.99730345976807,19.998959139213834,20.01664458767326,0.08843184455908926,0.09671867981650983,0.10582954931866498,1.3789408220248998,injection,100,20
injection_electrons,1000,0.1,100031,100031,100031,100031,1.0,1.0,2.999595518965177,3.000909007606326,3.0024811654020356,0.05238938574028129,0.09620118508024689,0.1112652078426526,1.2834943852172997,injection,100,3
injection_electrons,1000,0.1,100031,100031,100031,100031,1.0,1.0,3.9994606919535824,4.000493498296822,4.002539701522058,0.05114877017315944,0.07698561895281841,0.10993659061278568,1.2847987414901003,injection,100,4
injection_electrons,1000,0.1,100031,100031,100031,100031,1.0,1.0,4.999325864941988,5.000220750333594,5.001658489944575,0.028753522749669358,0.0466587909170757,0.10850764663276129,1.3030345197823001,injection,100,5
injection_electrons,1000,0.1,100031,100031,100031,100031,1.0,1.0,5.999191037930394,5.999887389907496,6.001416959610559,0.025493306851664954,0.03710369725002938,0.105568081167463,1.3049353913402997,injection,100,6
injection_electrons,1000,0.1,100031,100031,100031,100031,1.0,1.0,6.9990562109187975,6.999433228297832,7.000479276446065,0.014944755012491484,0.020332248868748515,0.1032507302783186,1.2969032527470001,injection,100,7
injection_electrons,1000,0.1,100031,100031,100031,100031,1.0,1.0,7.998921383907205,7.999283731052357,7.998971941750121,-0.003897715254497225,0.0006320582549790288,0.1042934949908942,1.368465279674698,injection,100,8
injection_electrons,1000,0.1,100031,100031,100031,100031,1.0,1.0,8.99878655689561,8.998931285200085,8.997622247456485,-0.01454659116857382,-0.012938516007277023,0.10484490808379907,1.3656870430117003,injection,100,9
injection_electrons,1000,0.1,100031,100031,100031,100031,1.0,1.0,9.998651729884015,9.998798806214241,9.996580258936097,-0.02218813800678454,-0.020717502758160755,0.10585273788127952,1.3976130262282993,injection,100,10
injection_electrons,1000,0.1,100031,100031,100031,100031,1.0,1.0,10.998516902872419,10.998628478663278,10.996396877368719,-0.020289814306284626,-0.019275557990428016,0.1057830692639533,1.397158464421799,injection,100,11
