family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,mean_initial_mm,mean_sc_on_mm,mean_sc_off_mm,centroid_shift_vs_no_sc_mm,species,species_label,beam,dx_mm,dy_mm,power_kw
extraction_ions,200,0.02,99580,100007,100007,100007,0.9957302988790785,1.0,10.01307217500336,10.019461502661958,24.658819373075012,146.10922819079337,146.26627015266408,22.195835424658505,133.2060863883074,-0.029407125446279773,-0.05648469551215542,-0.03233529661742959,-0.024149398894725824,ions,H₂⁺,extraction,0,-5,500
extraction_ions,1000,0.1,99750,100007,100007,100007,0.9974301798874079,1.0,10.015364028860457,10.019461502661958,24.411236584536574,143.63820927952094,143.73788625348723,20.59108817734779,133.7940441324374,-0.032701443708019404,-0.0968643823125018,-0.03233529661742959,-0.06452908569507221,ions,H₂⁺,extraction,0,-5,500
injection_h2o_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,16.438945412356553,64.68841863684744,64.68841863684744,7.208158286892904,18.076613610600297,0.0008979096310599358,0.003968849962315267,0.0008979096310599358,0.0030709403312553316,h2o_ions,H₂O⁺,injection,0,0,100
injection_h2o_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,16.435259074036292,64.65148821258386,64.65148821258386,7.2042528741776835,18.067011822463797,0.0008979096310599358,0.0039614632651274375,0.0008979096310599358,0.0030635536340675017,h2o_ions,H₂O⁺,injection,0,0,100
injection_h2o_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,16.3472334721162,63.769631328450686,63.769631328450686,7.110963623906262,17.8375532445134,0.0008979096310599358,0.003917119152192567,0.0008979096310599358,0.003019209521132631,h2o_ions,H₂O⁺,injection,0,0,100
injection_h2o_ions,0,0.0,99870,99988,99988,99988,0.9988198583830059,1.0,9.98012591869202,9.98184665832871,46.293807879689616,363.7799944668828,363.8599578486763,46.73582323607706,135.66042148573828,0.0009102107748305632,0.0011988431826882738,0.0008979096310599358,0.00030093355162833803,h2o_ions,H₂O⁺,injection,0,0,500
injection_h2o_ions,200,0.02,99877,99988,99988,99988,0.998889866784014,1.0,9.980277298511357,9.98184665832871,46.27733307053336,363.6149467585762,363.6878484071382,46.77363477353492,141.8543411905239,0.0011089739561732977,0.0022926913403032174,0.0008979096310599358,0.0013947817092432816,h2o_ions,H₂O⁺,injection,0,0,500
injection_h2o_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,45.82329457360816,359.0663044835883,359.0663044835883,37.66966520865844,99.60316498940911,0.0008979096310599358,0.001798876224521523,0.0008979096310599358,0.0009009665934615872,h2o_ions,H₂O⁺,injection,0,0,500
injection_h2o_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,9.981846658328717,9.981846658328717,16.438945412356553,64.68841863684733,64.68841863684733,7.2081582868929,18.076613610600305,5.000897909631041,5.0039688499623045,5.000897909631041,0.0030709403312636496,h2o_ions,H₂O⁺,injection,5,0,100
injection_h2o_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,9.981846658328717,9.981846658328717,16.435259074036292,64.65148821258376,64.65148821258376,7.204252874177678,18.067011822463897,5.000897909631041,5.003961463265117,5.000897909631041,0.003063553634076399,h2o_ions,H₂O⁺,injection,5,0,100
injection_h2o_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.981846658328717,9.981846658328717,16.3472334721162,63.76963132845055,63.76963132845055,7.110963623906257,17.8375532445134,5.000897909631041,5.003917119152183,5.000897909631041,0.0030192095211418746,h2o_ions,H₂O⁺,injection,5,0,100
injection_h2o_ions,0,0.0,99548,99988,99988,99988,0.9955994719366323,1.0,9.972871952043336,9.981846658328717,45.96904904094371,360.5264998995728,360.94093318349627,46.8078227932183,131.7978458862946,4.949850023473295,4.525528180775212,5.000897909631041,-0.47536972885582873,h2o_ions,H₂O⁺,injection,5,0,500
injection_h2o_ions,200,0.02,99556,99988,99988,99988,0.9956794815377845,1.0,9.973084980773823,9.981846658328717,45.9532015578981,360.36773686114856,360.7721848002596,46.74535725700308,135.0345347320724,4.950828549754946,4.534314491191486,5.000897909631041,-0.466583418439555,h2o_ions,H₂O⁺,injection,5,0,500
injection_h2o_ions,1000,0.1,99716,99988,99988,99988,0.9972796735608273,1.0,9.976325507691627,9.981846658328717,45.54387556268475,356.26703276075233,356.51954246652207,46.31839966140403,139.4240777955633,4.969156399575187,4.710219923908861,5.000897909631041,-0.29067798572217995,h2o_ions,H₂O⁺,injection,5,0,500
injection_h2o_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,9.981846658328728,9.981846658328728,16.43894541235656,64.68841863684722,64.68841863684722,7.208158286892891,18.0766136106003,10.000897909631027,10.003968849962295,10.000897909631027,0.0030709403312680905,h2o_ions,H₂O⁺,injection,10,0,100
injection_h2o_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,9.981846658328728,9.981846658328728,16.4352590740363,64.65148821258364,64.65148821258364,7.20425287417767,18.0670118224638,10.000897909631027,10.003961463265107,10.000897909631027,0.003063553634079952,h2o_ions,H₂O⁺,injection,10,0,100
injection_h2o_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.981846658328728,9.981846658328728,16.34723347211621,63.76963132845046,63.76963132845046,7.110963623906248,17.837553244513398,10.000897909631027,10.003917119152172,10.000897909631027,0.0030192095211454273,h2o_ions,H₂O⁺,injection,10,0,100
injection_h2o_ions,0,0.0,98923,99988,99988,99988,0.9893487218466216,1.0,9.950876202004649,9.981846658328728,45.3793789265777,354.61907480529885,356.0340014825611,46.33275159517046,136.7691836378292,9.871632161086096,8.87596862312987,10.000897909631027,-1.1249292865011569,h2o_ions,H₂O⁺,injection,10,0,500
injection_h2o_ions,200,0.02,98932,99988,99988,99988,0.9894387326479177,1.0,9.951063350103134,9.981846658328728,45.364333492824905,354.46834684615675,355.87423069068035,46.37995675174408,142.2970802165157,9.872627889440436,8.88589639886242,10.000897909631027,-1.1150015107686073,h2o_ions,H₂O⁺,injection,10,0,500
injection_h2o_ions,1000,0.1,99150,99988,99988,99988,0.9916189942793135,1.0,9.95755138619568,9.981846658328728,45.006924467439305,350.88775662453287,351.9878705304314,45.89950640013469,134.5295795932029,9.89891945200166,9.124449808048862,10.000897909631027,-0.8764481015821648,h2o_ions,H₂O⁺,injection,10,0,500
injection_h2o_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,16.61511970265794,66.45336550822007,66.45336550822007,7.395262529301393,18.525504297224305,0.0008979096310599358,0.004129586923599331,0.0008979096310599358,0.003231677292539395,h2o_ions,H₂O⁺,injection,0,5,100
injection_h2o_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,16.611151065718214,66.41360696377868,66.41360696377868,7.391064441952098,18.5153177236942,0.0008979096310599358,0.004121001155379649,0.0008979096310599358,0.0032230915243197135,h2o_ions,H₂O⁺,injection,0,5,100
