family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,block,beam,species,train,energy_mev,sigma_t_ns,sigma_mm,voltage_kv,power_kw,dx_mm,dy_mm
E3_injection_e_25mm,20,0.002,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.231367705389026,19.623313427751782,-22.226517179405427,-21.48886713282708,6.829843021265857,17.241922008006096,E3,injection,,3-bunch,80.0,120.0,25.0,15,100,0,0
E3_injection_e_25mm,20,0.002,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.231367705389026,10.770614630541496,-57.312600900976676,-56.90772817583025,26.89382385539813,79.27896983024459,E3,injection,,3-bunch,80.0,120.0,25.0,15,500,0,0
E3_injection_e_25mm,40,0.004,100030,100029,100031,100031,0.9999900030990393,0.9999800061980786,24.994306808629283,25.12047252068959,22.899928225741956,-8.839580119835567,-8.379422557797211,13.178291955938315,157.9210710524753,E3,injection,,3-bunch,80.0,120.0,25.0,15,100,0,0
E3_injection_e_25mm,40,0.004,100031,100029,100031,100031,1.0,0.9999800061980786,24.9966293247101,25.12047252068959,21.50371886955186,-14.397633834948431,-13.973525829361988,18.52324111833211,142.1257982405943,E3,injection,,3-bunch,80.0,120.0,25.0,15,500,0,0
E3_injection_e_25mm,60,0.006,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.02553366444196,25.166444386486344,0.563067800806194,0.6887071490921715,0.41117952627639603,3.2871611775362997,E3,injection,,3-bunch,80.0,120.0,25.0,15,100,0,0
E3_injection_e_25mm,60,0.006,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.02553366444196,27.44252457353719,9.65809936964288,9.79510167516493,3.648674833965023,16.582743609980596,E3,injection,,3-bunch,80.0,120.0,25.0,15,500,0,0
E3_injection_e_25mm,80,0.008,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.996884226931325,25.410799530227585,1.6558675854901672,1.6663503604529284,0.5371930996863493,2.4290718237893003,E3,injection,,3-bunch,80.0,120.0,25.0,15,100,0,0
E3_injection_e_25mm,80,0.008,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.996884226931325,25.654805020344387,2.63201120363723,2.64259463874017,1.9525850669834106,10.309021722456901,E3,injection,,3-bunch,80.0,120.0,25.0,15,500,0,0
E3_injection_e_25mm,100,0.01,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.00235061334202,24.957549249310276,-0.17918860800166803,-0.14706372775386,0.21201855533599007,2.535898717461901,E3,injection,,3-bunch,80.0,120.0,25.0,15,100,0,0
E3_injection_e_25mm,100,0.01,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.00235061334202,24.315517735957936,-2.7470732172581003,-2.7157747476997174,1.3422623201337252,8.022816740256802,E3,injection,,3-bunch,80.0,120.0,25.0,15,500,0,0
E3_injection_e_25mm,120,0.012,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.00611161129782,24.882469146071024,-0.49444898570688567,-0.44745254755234054,0.24105554535390145,2.1467735939801,E3,injection,,3-bunch,80.0,120.0,25.0,15,100,0,0
E3_injection_e_25mm,120,0.012,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.00611161129782,24.905170828838408,-0.40366444822954595,-0.35662513256858874,0.8473001285661692,8.101424439709184,E3,injection,,3-bunch,80.0,120.0,25.0,15,500,0,0
E3_injection_e_25mm,140,0.014,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.00095917340058,25.032085093307025,0.12449890298433797,0.15114755919014566,0.19021244021402356,2.3016475533520477,E3,injection,,3-bunch,80.0,120.0,25.0,15,100,0,0
E3_injection_e_25mm,140,0.014,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.00095917340058,25.219945461398904,0.8759115459510358,0.9027601945404529,0.7316940488182129,6.408471450106099,E3,injection,,3-bunch,80.0,120.0,25.0,15,500,0,0
E3_injection_e_25mm,160,0.016,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.99629362851056,25.031735389123945,0.14178806322293624,0.14974842383601583,0.1735089370515114,1.9158233156997,E3,injection,,3-bunch,80.0,120.0,25.0,15,100,0,0
E3_injection_e_25mm,160,0.016,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.99629362851056,24.85460374249025,-0.5668435813968031,-0.5589395505491646,0.6020001425910055,6.288415396321399,E3,injection,,3-bunch,80.0,120.0,25.0,15,500,0,0
E3_injection_e_25mm,180,0.018000000000000002,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.99652627249186,24.952897659722844,-0.17453870307182484,-0.16567432425108608,0.17154629147606681,2.267535686491799,E3,injection,,3-bunch,80.0,120.0,25.0,15,100,0,0
E3_injection_e_25mm,180,0.018000000000000002,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.99652627249186,24.76411103912091,-0.9297901269854414,-0.9209928135670453,0.5750775041109353,4.963315834349001,E3,injection,,3-bunch,80.0,120.0,25.0,15,500,0,0
E3_injection_e_25mm,200,0.02,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.998135162429048,24.960668055965254,-0.14987960589998295,-0.1345856595327377,0.16233513572966482,1.9817246138415,E3,injection,,3-bunch,80.0,120.0,25.0,15,100,0,0
E3_injection_e_25mm,200,0.02,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.998135162429048,24.99885570549463,0.0028823872696870367,0.018199732043688854,0.4587352151758324,4.947465515827801,E3,injection,,3-bunch,80.0,120.0,25.0,15,500,0,0
E3_injection_e_25mm,220,0.022000000000000002,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.997519923040425,25.006353554188195,0.03533803023245685,0.04819795824364537,0.15828982893126228,2.0826807449601983,E3,injection,,3-bunch,80.0,120.0,25.0,15,100,0,0
E3_injection_e_25mm,220,0.022000000000000002,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.997519923040425,25.048410261388618,0.20358154930917305,0.2164631056727595,0.41990310679822235,4.2592618610127015,E3,injection,,3-bunch,80.0,120.0,25.0,15,500,0,0
E3_injection_e_25mm,240,0.024,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.9953347208393,25.00279740451732,0.02985630623222324,0.03397011948780282,0.1529676247391195,2.048484949566001,E3,injection,,3-bunch,80.0,120.0,25.0,15,100,0,0
E3_injection_e_25mm,240,0.024,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.9953347208393,24.921353186577704,-0.2959813704751624,-0.29188095757226584,0.3805876997351823,3.2698909553681013,E3,injection,,3-bunch,80.0,120.0,25.0,15,500,0,0
E3_injection_e_25mm,1000,0.1,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.993819823995565,24.99389842720453,0.0003144905801555353,-0.0016338977827157208,0.10538787103089337,1.3594989954203998,E3,injection,,3-bunch,80.0,120.0,25.0,15,100,0,0
E3_injection_e_25mm,1000,0.1,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.993819823995565,24.99285822265422,-0.003847356458985818,-0.0057956637331546546,0.11566333516243198,1.2884425698284012,E3,injection,,3-bunch,80.0,120.0,25.0,15,500,0,0
E3_injection_e_25mm,0,0.0,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.194909003619614,19.651216723680466,-22.003224060633496,-21.377228525914205,6.837154158679838,17.902767925205097,E3,injection,,3-bunch,80.0,120.0,25.0,20,100,0,0
E3_injection_e_25mm,0,0.0,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.194909003619614,15.915930420407745,-36.82878387010173,-36.32177702598749,33.255689224395816,88.1648286945211,E3,injection,,3-bunch,80.0,120.0,25.0,20,500,0,0
E3_injection_e_25mm,25,0.0025,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.16664950512711,21.04616032634533,-16.372815848777677,-15.796183156881371,4.934667636386293,12.429741895244895,E3,injection,,3-bunch,80.0,120.0,25.0,20,100,0,0
E3_injection_e_25mm,25,0.0025,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.16664950512711,10.738521457139568,-57.33034921890636,-57.03613011010934,21.60677916195323,57.7511460604069,E3,injection,,3-bunch,80.0,120.0,25.0,20,500,0,0
E3_injection_e_25mm,45,0.0045000000000000005,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.095387219115402,23.269179676213373,-7.277064613336548,-6.9020803242293205,2.083964507680279,5.113363693591502,E3,injection,,3-bunch,80.0,120.0,25.0,20,100,0,0
E3_injection_e_25mm,45,0.0045000000000000005,100031,100030,100031,100031,1.0,0.9999900030990393,24.9966293247101,25.095387219115402,19.218773753213654,-23.417106158160706,-23.11453875016989,18.38127007970448,156.9393665587445,E3,injection,,3-bunch,80.0,120.0,25.0,20,500,0,0
E3_injection_e_25mm,70,0.007,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.01673701713528,25.141405870459998,0.4983417831003534,0.5885302719414787,0.3154815044780158,2.9174423078366996,E3,injection,,3-bunch,80.0,120.0,25.0,20,100,0,0
E3_injection_e_25mm,70,0.007,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.01673701713528,26.951022117117493,7.731963999370972,7.828644032698895,2.816076548109823,11.615462717246702,E3,injection,,3-bunch,80.0,120.0,25.0,20,500,0,0
E3_injection_e_25mm,90,0.009000000000000001,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.996846233096367,25.33384311704534,1.3481576067895462,1.3584545913425172,0.438770002567359,1.9132296385250998,E3,injection,,3-bunch,80.0,120.0,25.0,20,100,0,0
E3_injection_e_25mm,90,0.009000000000000001,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.996846233096367,26.16358323584107,4.667536823905083,4.678171057771019,1.6608342829173433,9.760038329907102,E3,injection,,3-bunch,80.0,120.0,25.0,20,500,0,0
E3_injection_e_25mm,115,0.0115,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.000032018929634,24.977750991808115,-0.08912399433987916,-0.06623835158913183,0.15397435700681625,1.8507492997685997,E3,injection,,3-bunch,80.0,120.0,25.0,20,100,0,0
E3_injection_e_25mm,115,0.0115,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.000032018929634,24.3784964955854,-2.486138909236668,-2.463802328101672,1.0830184962348197,7.204740015958997,E3,injection,,3-bunch,80.0,120.0,25.0,20,500,0,0
E3_injection_e_25mm,140,0.014,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.00306776440306,24.917454856004717,-0.3424096163120782,-0.30747783170378407,0.1747834553436914,2.044984405954,E3,injection,,3-bunch,80.0,120.0,25.0,20,100,0,0
E3_injection_e_25mm,140,0.014,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.00306776440306,24.876450576609535,-0.5064066097272613,-0.4715323090259016,0.6560190565411274,6.2088181690376985,E3,injection,,3-bunch,80.0,120.0,25.0,20,500,0,0
E3_injection_e_25mm,160,0.016,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.999718973004644,25.013348683789143,0.05451945599554975,0.07618485003666464,0.1375401866733811,1.7028501738704023,E3,injection,,3-bunch,80.0,120.0,25.0,20,100,0,0
