family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,voltage_kv,power_kw
injection_electrons_s10x10,80,0.008,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.010263917330184,10.417977138030398,4.072951762983634,4.193819521617104,3.6284178035482646,17.4305453941941,12,500
injection_electrons_s10x10,85,0.0085,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.020849948808271,9.501920468723544,-5.1784976597363475,-4.967982429829398,1.133903543922955,7.700573741761899,12,100
injection_electrons_s10x10,85,0.0085,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.020849948808271,10.337168677055773,3.156605775592114,3.385625945546211,3.3320850557815027,15.222344402807598,12,500
injection_electrons_s10x10,90,0.009000000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.031563894710404,9.298569180976218,-7.306883766355621,-7.001769516737822,1.1612030689777688,7.0316274301641,12,100
injection_electrons_s10x10,90,0.009000000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.031563894710404,10.272341864405696,2.4002037192052628,2.7372704032052164,3.0818616768863576,15.350955752915699,12,500
injection_electrons_s10x10,95,0.0095,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.039980909306005,9.280332518542098,-7.566233418430035,-7.18416073234156,1.0916701930252122,8.5072446734486,12,100
injection_electrons_s10x10,95,0.0095,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.039980909306005,10.163577335681008,1.2310424441190237,1.6494784522203432,2.8202395679709467,13.7656797189644,12,500
injection_electrons_s10x10,105,0.0105,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.044187383817839,9.619075012869589,-4.23242174506967,-3.7962790110985245,0.8088999826241549,7.9223727103936,12,100
injection_electrons_s10x10,105,0.0105,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.044187383817839,10.151756515191229,1.070959025980489,1.531254307514418,2.411027759846679,12.0032625920845,12,500
injection_electrons_s10x10,110,0.011000000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.039775213991174,9.854527611391747,-1.84513695427434,-1.4414355293675185,0.7103185690520086,8.4773765837401,12,100
injection_electrons_s10x10,110,0.011000000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.039775213991174,10.205795002556666,1.6536205744341004,2.0717120494710306,2.2369977218170276,11.0511325613924,12,500
injection_electrons_s10x10,115,0.0115,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.032454681151089,10.060196914861388,0.276524884407614,0.615534840496812,0.6672491364038536,7.0643167772246995,12,100
injection_electrons_s10x10,115,0.0115,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.032454681151089,10.232746883264523,1.9964426302342853,2.3412671998650048,2.074115175765371,12.525265540878298,12,500
injection_electrons_s10x10,120,0.012,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.023876696343123,10.201843447440663,1.775428374557575,2.0321911698288897,0.6473850008760578,6.2888366721471,12,100
injection_electrons_s10x10,120,0.012,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.023876696343123,10.215197530245181,1.9086511107210047,2.16575000521273,1.9405600433786436,9.8112038419446,12,500
injection_electrons_s10x10,130,0.013000000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.008702895939697,10.253965340822871,2.450491811308253,2.553480387518392,0.5767442974725091,6.0952907628860995,12,100
injection_electrons_s10x10,130,0.013000000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.008702895939697,10.133824582069868,1.2501288871401117,1.3519107959510945,1.7049849870934877,8.8896042120797,12,500
injection_electrons_s10x10,135,0.0135,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.003849801732084,10.187285305219161,1.8336491163163604,1.8865901166589927,0.5335444950788194,5.6863554017133,12,100
injection_electrons_s10x10,135,0.0135,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.003849801732084,10.086224176947258,0.8234267491792124,0.8758425578671458,1.5966646818560786,8.4300695437427,12,500
injection_electrons_s10x10,140,0.014,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.001202058008863,10.090799742134683,0.8958691525892348,0.9216043796710593,0.5049947852733065,6.682837498145299,12,100
injection_electrons_s10x10,140,0.014,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.001202058008863,10.042215732286046,0.4100874478817129,0.4356987679831503,1.4978084177880664,8.539096584246,12,500
injection_electrons_s10x10,145,0.0145,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.000621335588109,9.991120513953414,-0.09500231351512456,-0.07532231478862839,0.4931805184200651,6.2794522503566,12,100
injection_electrons_s10x10,145,0.0145,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.000621335588109,10.043292117198158,0.42668130487253375,0.4464640685575727,1.40840096690641,8.602530946475298,12,500
injection_electrons_s10x10,155,0.0155,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.004094447699991,9.865063300024001,-1.3897424539804693,-1.336064436175366,0.47508884729810424,5.237435913603201,12,100
injection_electrons_s10x10,155,0.0155,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.004094447699991,10.028581620635457,0.24477150894046673,0.2993392665331829,1.2368824857660514,7.258197658794801,12,500
injection_electrons_s10x10,160,0.016,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.00702525918275,9.858338124551448,-1.4858275139743693,-1.4033252594767065,0.4552312468894337,5.1055740082091,12,100
injection_electrons_s10x10,160,0.016,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.00702525918275,10.037757611018854,0.30710776719486965,0.39111154374904533,1.1805546545863321,8.5427230340572,12,500
injection_electrons_s10x10,165,0.0165,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.009896415200004,9.886421538092941,-1.2335280205254318,-1.122453254928757,0.43341045197823164,4.869038862497803,12,100
injection_electrons_s10x10,165,0.0165,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.009896415200004,10.021729095714717,0.11820981980137368,0.23080477702537294,1.1271983596604231,8.4697880450817,12,500
injection_electrons_s10x10,170,0.017,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.01212484557659,9.9381861412088,-0.7384916339757575,-0.6047374216915258,0.4180152347699933,4.2213311029958005,12,100
injection_electrons_s10x10,170,0.017,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.01212484557659,10.032717629620974,0.20567845848906696,0.3407049335976131,1.081534293815507,7.292031844965598,12,500
injection_electrons_s10x10,175,0.0175,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.013303383670907,9.999041701591686,-0.14242734423165482,0.0039002429348178325,0.4119554342163906,4.4786345976304,12,100
injection_electrons_s10x10,175,0.0175,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.013303383670907,10.029270187027539,0.15945590326034154,0.30622585895268006,1.0322433357618372,6.837949992345502,12,500
