family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,species,species_label,beam,power_kw,sigma_x_mm
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,2.9945539974985853,2.9945539974985853,25.258485353729174,743.4807111452365,743.4807111452365,22.8784529911004,53.696055214246,ions,H₂⁺,injection,100,3
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,3.9927386633314605,3.9927386633314605,21.466814003554404,437.6463578921774,437.6463578921774,18.14027039580911,42.75266488863019,ions,H₂⁺,injection,100,4
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,4.990923329164335,4.990923329164335,19.50342198989199,290.77783214829674,290.77783214829674,15.219925457933059,35.9616397477755,ions,H₂⁺,injection,100,5
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,5.989107994997211,5.989107994997211,18.473605385266005,208.45336902752925,208.45336902752925,13.223005387201358,31.3406216970038,ions,H₂⁺,injection,100,6
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,6.987292660830085,6.987292660830085,17.983843431012687,157.3792784124806,157.3792784124806,11.756437246359745,27.9709240410004,ions,H₂⁺,injection,100,7
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,7.98547732666296,7.98547732666296,17.836199374831466,123.35796152444915,123.35796152444915,10.623559723330093,25.3919765157195,ions,H₂⁺,injection,100,8
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,8.983661992495835,8.983661992495835,17.921553507082695,99.49051424745046,99.49051424745046,9.716753567770885,23.2630108444421,ions,H₂⁺,injection,100,9
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,18.17292230124564,82.05972224670887,82.05972224670887,8.970522525702576,21.5410687533537,ions,H₂⁺,injection,100,10
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,10.980031324161585,10.980031324161585,18.547644499893313,68.92159914953227,68.92159914953227,8.343542248306512,20.0885647171656,ions,H₂⁺,injection,100,11
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,11.97821598999446,11.97821598999446,19.015980952874077,58.75470077312299,58.75470077312299,7.8070159242667145,18.798044224979506,ions,H₂⁺,injection,100,12
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,12.976400655827335,12.976400655827335,19.558029187335595,50.71998550347345,50.71998550347345,7.341998969681924,17.738690321578897,ions,H₂⁺,injection,100,13
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,13.974585321660209,13.974585321660209,20.158758559600855,44.25299996813039,44.25299996813039,6.934032412578883,16.792501200738492,ions,H₂⁺,injection,100,14
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,14.972769987493084,14.972769987493084,20.807162271930324,38.96668611960759,38.96668611960759,6.572621300018331,15.963190700034797,ions,H₂⁺,injection,100,15
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,15.970954653325961,15.970954653325961,21.49474846939268,34.58649740087005,34.58649740087005,6.249777498945265,15.232991307471504,ions,H₂⁺,injection,100,16
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,16.969139319158835,16.969139319158835,22.21487388089639,30.913380243244948,30.913380243244948,5.958982731552621,14.566323621408898,ions,H₂⁺,injection,100,17
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,17.967323984991708,17.967323984991708,22.962662769782828,27.80235269850857,27.80235269850857,5.695626669688397,13.954054731359207,ions,H₂⁺,injection,100,18
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,18.965508650824585,18.965508650824585,23.73410310435086,25.143509416600573,25.143509416600573,5.4560736604954805,13.402477028753903,ions,H₂⁺,injection,100,19
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,19.963693316657462,19.963693316657462,24.525818275330877,22.85210900763954,22.85210900763954,5.236843050481207,12.907528766663106,ions,H₂⁺,injection,100,20
injection_ions,0,0.0,95354,99988,99988,99988,0.9536544385326239,1.0,3.0353975510367315,2.9945539974985853,51.16653584870501,1608.6529710750085,1585.661762204072,51.15629004018136,121.2779650836807,ions,H₂⁺,injection,200,3
injection_ions,0,0.0,99566,99988,99988,99988,0.9957794935392247,1.0,4.000174930514223,3.9927386633314605,47.609463239345935,1092.4011876004317,1090.1845310856374,47.492606931859086,120.85687776347109,ions,H₂⁺,injection,200,4
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,4.990923329164335,4.990923329164335,41.83153439379513,738.1522142276483,738.1522142276483,37.99536245332092,96.5893570074159,ions,H₂⁺,injection,200,5
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,5.989107994997211,5.989107994997211,37.18872441134114,520.9392858236223,520.9392858236223,32.406240478783765,81.2848191310661,ions,H₂⁺,injection,200,6
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,6.987292660830085,6.987292660830085,34.053958466362566,387.3698601071188,387.3698601071188,28.306813319243172,70.38352223550869,ions,H₂⁺,injection,200,7
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,7.98547732666296,7.98547732666296,31.952565042037424,300.1334389285661,300.1334389285661,25.236406670811167,62.50747195406209,ions,H₂⁺,injection,200,8
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,8.983661992495835,8.983661992495835,30.536013303051504,239.90607982088616,239.90607982088616,22.847033631647882,56.560189023525595,ions,H₂⁺,injection,200,9
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,29.59122636055935,196.45042018221002,196.45042018221002,20.92471288884578,51.7122105607486,ions,H₂⁺,injection,200,10
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,10.980031324161585,10.980031324161585,28.988676233857927,164.01269156735717,164.01269156735717,19.339982889813886,47.8268433259269,ions,H₂⁺,injection,200,11
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,11.97821598999446,11.97821598999446,28.640664069309125,139.10625833791107,139.10625833791107,18.00501581272026,44.5374340393032,ions,H₂⁺,injection,200,12
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,12.976400655827335,12.976400655827335,28.48845153759899,119.5404742285422,119.5404742285422,16.8615815957757,41.8271190045754,ions,H₂⁺,injection,200,13
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,13.974585321660209,13.974585321660209,28.49272279988447,103.8895762847543,103.8895762847543,15.870979201898864,39.438100973983595,ions,H₂⁺,injection,200,14
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,14.972769987493084,14.972769987493084,28.620066564469155,91.14744024235866,91.14744024235866,14.999833179489723,37.338546694361895,ions,H₂⁺,injection,200,15
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,15.970954653325961,15.970954653325961,28.849783398444966,80.63906650963398,80.63906650963398,14.228401149203783,35.53239121550391,ions,H₂⁺,injection,200,16
