family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,voltage_kv,power_kw
injection_electrons_s10x10,25,0.0025,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.70414980153808,13.645665396033694,27.48014227223303,36.47505448409076,9.840784495609649,48.657229749736295,10,500
injection_electrons_s10x10,50,0.005,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.084553519080732,12.072680160509298,19.71457276385,20.743081033879985,6.210423877677755,27.015425069094896,10,500
injection_electrons_s10x10,75,0.007500000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.018357482184092,10.525178972101354,5.058927981144179,5.26598241884606,3.8621062220816134,20.3300261113909,10,500
injection_electrons_s10x10,100,0.01,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.047945083204418,10.221511095794957,1.7273781967684476,2.2288941742500956,2.553951180071577,13.5189896062782,10,500
injection_electrons_s10x10,125,0.0125,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.003570682058353,10.145144643873385,1.415234282984068,1.4651266785453698,1.8738947505713892,12.7584054614942,10,500
injection_electrons_s10x10,150,0.015000000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.011906767856747,10.07564273115291,0.63660164615984,0.7700138313527338,1.3969439247414088,9.4910431132063,10,500
injection_electrons_s10x10,175,0.0175,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.010892666581878,10.050897187350463,0.39960992591727695,0.5225250251521096,1.0945979593001367,8.3159190449036,10,500
injection_electrons_s10x10,200,0.02,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.00109242656167,10.00199104561608,0.008985208976008963,0.033397660227363346,0.8336148732679949,5.697292099890299,10,500
injection_electrons_s10x10,225,0.022500000000000003,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.006046771992425,10.010101047357415,0.0405182531860504,0.11450861358817122,0.6517157699239724,4.276555885128501,10,500
injection_electrons_s10x10,250,0.025,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.0035334642357,10.006640607825574,0.031060460795995226,0.07989955203342447,0.5249879677290549,3.3045134774725007,10,500
injection_electrons_s10x10,275,0.0275,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.00065512076562,9.99586860390607,-0.04786203305432446,-0.027835012691035388,0.461408600828774,2.9485654790093996,10,500
injection_electrons_s10x10,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.002976849164302,10.0050345521741,0.020570906449424164,0.06383682982984418,0.41813070436319605,3.3046616356949006,10,500
