family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,power_kw,sigma_x_mm
injection_ions,1000,0.1,99987,99988,99988,99988,0.999989998799856,1.0,19.962151339717888,19.963693316657462,41.42096003625456,107.48144834349573,107.49747525378663,39.15090501902058,164.287092554114,400,20
injection_ions,1000,0.1,70944,99988,99988,99988,0.7095251430171621,1.0,2.7962891648696995,2.9945539974985853,56.46523213489939,1785.5973938712075,1919.2915970309007,56.54050642378073,117.5116264125852,500,3
injection_ions,1000,0.1,75009,99988,99988,99988,0.7501800216025923,1.0,3.809420219157294,3.9927386633314605,55.90724225713794,1300.2229289529823,1367.6050170570454,56.010676717109654,121.1134020919192,500,4
injection_ions,1000,0.1,78497,99988,99988,99988,0.7850642077049246,1.0,4.8384963961521255,4.990923329164335,55.3091653514377,1008.1950513693524,1043.1064699236524,55.48588149815439,124.111594434894,500,5
injection_ions,1000,0.1,81591,99988,99988,99988,0.8160079209505141,1.0,5.8641206425371974,5.989107994997211,54.70449626800201,813.3997302051904,832.8678518512421,54.94382178336678,126.44524294653169,500,6
injection_ions,1000,0.1,84274,99988,99988,99988,0.8428411409369124,1.0,6.892574461411513,6.987292660830085,54.085060032384014,674.0488721129186,684.6859012576858,54.365561836164645,130.4074451291369,500,7
injection_ions,1000,0.1,86799,99988,99988,99988,0.8680941713005561,1.0,7.922856781277114,7.98547732666296,53.60608820468693,571.2947268123833,576.6004950558499,53.98250757840426,139.1672031078236,500,8
injection_ions,1000,0.1,89061,99988,99988,99988,0.8907168860263232,1.0,8.943135693174323,8.983661992495835,53.11370792372698,491.2255822635972,493.90475271738296,53.652799179554236,142.7192299144363,500,9
injection_ions,1000,0.1,91204,99988,99988,99988,0.9121494579349522,1.0,9.957543302363144,9.98184665832871,52.73757898413765,428.3348942265524,429.6244001431745,53.33047646952906,139.9915252976693,500,10
injection_ions,1000,0.1,93051,99988,99988,99988,0.9306216746009521,1.0,10.96723301536077,10.980031324161585,52.27315629356981,376.07474651317807,376.63030611600686,52.95650754532874,143.5680565775742,500,11
injection_ions,1000,0.1,94811,99988,99988,99988,0.9482237868544225,1.0,11.969752028590676,11.97821598999446,51.920200051398005,333.4551997957587,333.76170139015915,52.642206890916775,146.60397090050668,500,12
injection_ions,1000,0.1,96398,99988,99988,99988,0.9640956914829779,1.0,12.967757123296327,12.976400655827335,51.565991189030754,297.38285335597993,297.64772503637846,52.31766887800228,154.9103615782632,500,13
injection_ions,1000,0.1,97852,99988,99988,99988,0.9786374364923791,1.0,13.964694894992927,13.974585321660209,51.255212867016006,266.77448158387847,267.03424781155564,51.93041091492901,162.0576258607893,500,14
injection_ions,1000,0.1,98963,99988,99988,99988,0.9897487698523822,1.0,14.961263003022816,14.972769987493084,50.81229054961346,239.3646639336443,239.6256755819826,51.18126625737978,154.68163641678,500,15
injection_ions,1000,0.1,99789,99988,99988,99988,0.9980097611713405,1.0,15.967075257084042,15.970954653325961,50.32922429072897,215.12971756042072,215.20628217994795,50.313259938572024,162.6226040543856,500,16
injection_ions,1000,0.1,99987,99988,99988,99988,0.999989998799856,1.0,16.968004778100774,16.969139319158835,49.48678940522948,191.6281637770333,191.64766307172462,48.19886069714129,175.332485390457,500,17
injection_ions,1000,0.1,99986,99988,99988,99988,0.999979997599712,1.0,17.96473478065086,17.967323984991708,48.67975327727343,170.93491116393363,170.97396021512412,47.43136703006136,162.9218546230797,500,18
injection_ions,1000,0.1,99985,99988,99988,99988,0.999969996399568,1.0,18.961913734448235,18.965508650824585,48.0657232120812,153.4375644598986,153.485612714079,47.05728124146919,169.378109610475,500,19
injection_ions,1000,0.1,99976,99988,99988,99988,0.9998799855982718,1.0,19.950006312173638,19.963693316657462,47.60991071575435,138.48247897110912,138.64609349372708,47.20606951832325,168.37199371495672,500,20
