family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,species,species_label,voltage_kv,power_kw
injection_h2o_ions_s10x10,0,0.0,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,32.60183980251324,226.61130668953655,226.61130668953655,23.818040427813504,58.4518441174606,h2o_ions,H₂O⁺,5,100
injection_h2o_ions_s10x10,200,0.02,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,32.53580411914491,225.94974890740787,225.94974890740787,23.7500426546614,58.2570581783827,h2o_ions,H₂O⁺,5,100
injection_h2o_ions_s10x10,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,30.994483712778827,210.5085138421504,210.5085138421504,22.16134750741091,53.708721252632195,h2o_ions,H₂O⁺,5,100
injection_h2o_ions_s10x10,0,0.0,51988,99988,99988,99988,0.5199423930871705,1.0,8.768957740657141,9.98184665832871,56.39032776775395,464.928812252417,543.0676191573035,57.25694527637808,141.5313483002768,h2o_ions,H₂O⁺,5,500
injection_h2o_ions_s10x10,200,0.02,52043,99988,99988,99988,0.5204924590950915,1.0,8.773360528316305,9.98184665832871,56.40092877942889,465.0350151629384,542.865736537249,57.28578889616695,144.82792491133,h2o_ions,H₂O⁺,5,500
injection_h2o_ions_s10x10,1000,0.1,53341,99988,99988,99988,0.5334740168820259,1.0,8.883457966071578,9.98184665832871,56.554664880118374,466.57517206928816,536.6289467020222,57.4918843570694,140.7844088805842,h2o_ions,H₂O⁺,5,500
injection_h2o_ions_s10x10,0,0.0,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,22.567827177773893,126.08869831659474,126.08869831659474,13.655847802176686,35.35604504052159,h2o_ions,H₂O⁺,10,100
injection_h2o_ions_s10x10,200,0.02,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,22.548255835691297,125.89262896437461,125.89262896437461,13.635517986755412,35.30392067025559,h2o_ions,H₂O⁺,10,100
injection_h2o_ions_s10x10,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,22.084837359960456,121.25001631369665,121.25001631369665,13.153846646196914,34.06728458207979,h2o_ions,H₂O⁺,10,100
injection_h2o_ions_s10x10,0,0.0,74809,99988,99988,99988,0.7481797815737888,1.0,9.451620898809711,9.98184665832871,53.60430901991649,437.0179572453142,467.1440866472665,54.553979072761365,141.62758184951463,h2o_ions,H₂O⁺,10,500
